,runtime_sec,runtime_sec,runtime_sec,runtime_sec,runtime_sec,throughput_input_rows_per_sec,throughput_input_rows_per_sec,cpu_seconds,cpu_seconds,peak_memory_mb,peak_memory_mb,input_rows_processed,rows_returned
,median,mean,std,min,max,median,mean,median,mean,median,max,median,median
query_pattern,,,,,,,,,,,,,
01_overlap_default.sql,5.28,5.398,0.2379,5.22,5.78,189393.9394,185532.3084,3.24,3.35,28.6962,28.6962,1000000.0,500000.0
02_overlap.sql,9.46,9.55,0.3188,9.17,9.89,105708.2452,104805.2927,4.94,5.036,28.6962,28.8958,1000000.0,999999.0
03_greedy.sql,6.12,6.668,1.1721,5.88,8.67,163398.6928,153174.8082,5.61,6.16,25.1743,25.1746,1000000.0,449895.0
03_reluctant.sql,6.84,7.016,0.3068,6.76,7.49,146198.8304,142743.3724,6.29,6.5,25.1744,26.3744,1000000.0,1000000.0
04_define.sql,7.25,7.236,0.1258,7.08,7.38,137931.0345,138231.3996,5.25,5.258,40.4824,40.7541,1000000.0,567343.0
05_ONE ROW PER MATCH.sql,4.14,4.122,0.0804,4.02,4.23,241545.8937,242674.5666,3.61,3.576,25.174,25.1741,1000000.0,368349.0
06_ALL ROW PER MATCH.sql,19.46,19.148,0.8815,17.97,19.93,51387.4615,52315.0378,5.84,5.998,76.4414,90.2452,1000000.0,999997.0
07_SUBSET.sql,4.52,4.478,0.0858,4.35,4.55,221238.9381,223380.4334,4.0,4.03,25.1743,25.1743,1000000.0,333333.0
09_Nullwerte.sql,5.48,5.438,0.1771,5.18,5.63,182481.7518,184049.5813,3.9,3.896,25.1741,25.1742,1000000.0,500072.0
