,runtime_sec,runtime_sec,runtime_sec,runtime_sec,runtime_sec,throughput_input_rows_per_sec,throughput_input_rows_per_sec,cpu_seconds,cpu_seconds,peak_memory_mb,peak_memory_mb,input_rows_processed,rows_returned
,median,mean,std,min,max,median,mean,median,mean,median,max,median,median
query_pattern,,,,,,,,,,,,,
01_overlap_default.sql,2.11,2.092,0.1314,1.92,2.23,473933.6493,479548.5861,3.65,3.594,44.6076,46.8523,1000000.0,1.0
02_overlap.sql,2.51,2.52,0.04,2.47,2.57,398406.3745,396905.319,5.09,5.094,46.8546,46.8547,1000000.0,1.0
03_greedy.sql,11.42,11.416,0.1626,11.18,11.63,87565.6743,87610.6111,29.54,29.45,43.3282,43.9,1000000.0,1.0
03_reluctant.sql,2.11,2.124,0.0251,2.1,2.16,473933.6493,470862.0915,3.5,3.538,43.3309,43.3339,1000000.0,1.0
04_define.sql,2.08,2.206,0.2587,1.99,2.63,480769.2308,457895.0916,3.55,3.808,39.5984,43.3333,1000000.0,1.0
05_ONE ROW PER MATCH.sql,2.08,2.078,0.0249,2.04,2.1,480769.2308,481287.6098,3.54,3.518,43.3327,44.0421,1000000.0,1.0
06_ALL ROW PER MATCH.sql,2.09,2.076,0.041,2.03,2.13,478468.8995,481845.6566,3.51,3.55,41.8905,43.3327,1000000.0,1.0
07_SUBSET.sql,1.95,1.956,0.0207,1.94,1.99,512820.5128,511292.9985,3.0,2.978,43.3284,43.3322,1000000.0,1.0
09_Nullwerte.sql,2.08,2.078,0.039,2.04,2.13,480769.2308,481367.0864,3.43,3.462,38.5356,43.3324,1000000.0,1.0
