system,query_pattern,iteration,runtime_sec,client_runtime_sec,input_rows_processed,rows_returned,throughput_input_rows_per_sec,cpu_seconds,peak_memory_mb,status,query_id
trino,01_overlap_default.sql,1,3.86,4.081284284591675,1000000,500000,259067.35751295337,1.34,28.69229221343994,SUCCESS,20260129_200217_00312_bxhed
trino,01_overlap_default.sql,2,3.86,4.0837321281433105,1000000,500000,259067.35751295337,1.48,28.69229221343994,SUCCESS,20260129_200221_00313_bxhed
trino,01_overlap_default.sql,3,3.75,3.9741508960723877,1000000,500000,266666.6666666667,1.31,28.69229221343994,SUCCESS,20260129_200226_00314_bxhed
trino,01_overlap_default.sql,4,3.82,4.114265203475952,1000000,500000,261780.1047120419,1.38,28.6923189163208,SUCCESS,20260129_200230_00315_bxhed
trino,01_overlap_default.sql,5,3.69,3.9146764278411865,1000000,500000,271002.7100271003,1.32,28.69229221343994,SUCCESS,20260129_200234_00316_bxhed
trino,02_overlap.sql,1,7.0,7.113499641418457,1000000,999999,142857.14285714287,2.05,28.6923189163208,SUCCESS,20260129_200245_00318_bxhed
trino,02_overlap.sql,2,6.71,6.826963901519775,1000000,999999,149031.29657228017,2.02,28.6923189163208,SUCCESS,20260129_200252_00319_bxhed
trino,02_overlap.sql,3,6.93,7.038513898849487,1000000,999999,144300.1443001443,2.12,28.6923189163208,SUCCESS,20260129_200259_00320_bxhed
trino,02_overlap.sql,4,6.65,6.766079664230347,1000000,999999,150375.93984962406,1.94,28.69229221343994,SUCCESS,20260129_200306_00321_bxhed
trino,02_overlap.sql,5,6.74,6.845739126205444,1000000,999999,148367.9525222552,1.94,28.6923189163208,SUCCESS,20260129_200313_00322_bxhed
trino,03_greedy.sql,1,2.71,2.7751047611236572,1000000,449895,369003.6900369004,2.12,25.171836853027344,SUCCESS,20260129_200323_00324_bxhed
trino,03_greedy.sql,2,2.73,2.8198180198669434,1000000,449895,366300.3663003663,2.17,25.1719970703125,SUCCESS,20260129_200325_00325_bxhed
trino,03_greedy.sql,3,2.7,2.8746070861816406,1000000,449895,370370.37037037034,2.23,25.17205047607422,SUCCESS,20260129_200328_00326_bxhed
trino,03_greedy.sql,4,2.6,2.786105155944824,1000000,449895,384615.3846153846,2.15,25.171855926513672,SUCCESS,20260129_200331_00327_bxhed
trino,03_greedy.sql,5,2.71,2.7702231407165527,1000000,449895,369003.6900369004,2.19,25.172016143798828,SUCCESS,20260129_200334_00328_bxhed
trino,03_reluctant.sql,1,3.49,3.770369529724121,1000000,1000000,286532.95128939825,2.94,25.172218322753906,SUCCESS,20260129_200340_00330_bxhed
trino,03_reluctant.sql,2,3.35,3.5106401443481445,1000000,1000000,298507.46268656716,2.73,25.171993255615234,SUCCESS,20260129_200344_00331_bxhed
trino,03_reluctant.sql,3,3.53,3.6979031562805176,1000000,1000000,283286.11898017,2.86,25.172130584716797,SUCCESS,20260129_200348_00332_bxhed
trino,03_reluctant.sql,4,3.31,3.582717180252075,1000000,1000000,302114.80362537765,2.72,25.172401428222656,SUCCESS,20260129_200351_00333_bxhed
trino,03_reluctant.sql,5,3.3,3.4589335918426514,1000000,1000000,303030.30303030304,2.72,25.171993255615234,SUCCESS,20260129_200355_00334_bxhed
trino,04_define.sql,1,5.09,5.311840534210205,1000000,567343,196463.65422396857,2.55,40.15002155303955,SUCCESS,20260129_200404_00336_bxhed
trino,04_define.sql,2,5.1,5.2280027866363525,1000000,567343,196078.43137254904,2.52,40.14995288848877,SUCCESS,20260129_200409_00337_bxhed
