system,query_pattern,iteration,runtime_sec,client_runtime_sec,input_rows_processed,rows_returned,throughput_input_rows_per_sec,cpu_seconds,peak_memory_mb,status,query_id
trino,01_overlap_default.sql,1,2.23,2.286202907562256,1000000,1,448430.4932735426,3.65,40.72220039367676,SUCCESS,20260114_022017_00422_qfr6h
trino,01_overlap_default.sql,2,2.2,2.254105567932129,1000000,1,454545.45454545453,3.86,46.85230350494385,SUCCESS,20260114_022020_00423_qfr6h
trino,01_overlap_default.sql,3,2.0,2.053091049194336,1000000,1,500000.0,3.45,44.60755920410156,SUCCESS,20260114_022022_00424_qfr6h
trino,01_overlap_default.sql,4,1.92,1.96989107131958,1000000,1,520833.3333333334,3.15,36.27451038360596,SUCCESS,20260114_022024_00425_qfr6h
trino,01_overlap_default.sql,5,2.11,2.1631805896759033,1000000,1,473933.64928909956,3.86,46.85111713409424,SUCCESS,20260114_022026_00426_qfr6h
trino,02_overlap.sql,1,2.57,2.6187117099761963,1000000,1,389105.0583657588,5.09,46.85461139678955,SUCCESS,20260114_022031_00428_qfr6h
trino,02_overlap.sql,2,2.55,2.603754758834839,1000000,1,392156.8627450981,5.17,46.85471057891846,SUCCESS,20260114_022034_00429_qfr6h
trino,02_overlap.sql,3,2.5,2.549370050430298,1000000,1,400000.0,5.06,46.854546546936035,SUCCESS,20260114_022036_00430_qfr6h
trino,02_overlap.sql,4,2.47,2.5185630321502686,1000000,1,404858.29959514167,5.09,46.85461139678955,SUCCESS,20260114_022039_00431_qfr6h
trino,02_overlap.sql,5,2.51,2.5622992515563965,1000000,1,398406.3745019921,5.06,46.85465717315674,SUCCESS,20260114_022042_00432_qfr6h
trino,03_greedy.sql,1,11.42,11.471977710723877,1000000,1,87565.67425569177,29.39,40.96166229248047,SUCCESS,20260114_022055_00434_qfr6h
trino,03_greedy.sql,2,11.47,11.513953447341919,1000000,1,87183.95815170008,29.61,30.357471466064453,SUCCESS,20260114_022107_00435_qfr6h
trino,03_greedy.sql,3,11.63,11.678275346755981,1000000,1,85984.52278589853,29.84,43.32823944091797,SUCCESS,20260114_022118_00436_qfr6h
trino,03_greedy.sql,4,11.38,11.425179243087769,1000000,1,87873.46221441124,29.54,43.32823944091797,SUCCESS,20260114_022130_00437_qfr6h
trino,03_greedy.sql,5,11.18,11.22726821899414,1000000,1,89445.43828264759,28.87,43.89995574951172,SUCCESS,20260114_022142_00438_qfr6h
trino,03_reluctant.sql,1,2.11,2.156930446624756,1000000,1,473933.64928909956,3.4,35.38041877746582,SUCCESS,20260114_022155_00440_qfr6h
trino,03_reluctant.sql,2,2.1,2.15252685546875,1000000,1,476190.47619047615,3.5,43.33385467529297,SUCCESS,20260114_022157_00441_qfr6h
trino,03_reluctant.sql,3,2.11,2.152907609939575,1000000,1,473933.64928909956,3.6,43.33360290527344,SUCCESS,20260114_022159_00442_qfr6h
trino,03_reluctant.sql,4,2.16,2.208253860473633,1000000,1,462962.9629629629,3.5,43.3309211730957,SUCCESS,20260114_022201_00443_qfr6h
trino,03_reluctant.sql,5,2.14,2.1830954551696777,1000000,1,467289.7196261682,3.69,33.4538459777832,SUCCESS,20260114_022204_00444_qfr6h
trino,04_define.sql,1,2.63,2.684298515319824,1000000,1,380228.1368821293,5.01,39.59835338592529,SUCCESS,20260114_022208_00446_qfr6h
trino,04_define.sql,2,2.27,2.314746141433716,1000000,1,440528.6343612335,3.73,43.32823944091797,SUCCESS,20260114_022211_00447_qfr6h
trino,04_define.sql,3,1.99,2.0430004596710205,1000000,1,502512.5628140704,3.3,30.645716667175293,SUCCESS,20260114_022213_00448_qfr6h
trino,04_define.sql,4,2.08,2.131441831588745,1000000,1,480769.23076923075,3.45,39.59835338592529,SUCCESS,20260114_022215_00449_qfr6h
trino,04_define.sql,5,2.06,2.113004684448242,1000000,1,485436.8932038835,3.55,43.33327102661133,SUCCESS,20260114_022217_00450_qfr6h
trino,05_ONE ROW PER MATCH.sql,1,2.07,2.1205997467041016,1000000,1,483091.78743961354,3.4,43.33273696899414,SUCCESS,20260114_022222_00452_qfr6h
trino,05_ONE ROW PER MATCH.sql,2,2.08,2.127101421356201,1000000,1,480769.23076923075,3.54,44.042141914367676,SUCCESS,20260114_022224_00453_qfr6h
trino,05_ONE ROW PER MATCH.sql,3,2.04,2.0862996578216553,1000000,1,490196.07843137253,3.4,43.333011627197266,SUCCESS,20260114_022226_00454_qfr6h
trino,05_ONE ROW PER MATCH.sql,4,2.1,2.144211530685425,1000000,1,476190.47619047615,3.62,33.453067779541016,SUCCESS,20260114_022228_00455_qfr6h
trino,05_ONE ROW PER MATCH.sql,5,2.1,2.1623854637145996,1000000,1,476190.47619047615,3.63,43.332637786865234,SUCCESS,20260114_022230_00456_qfr6h
trino,06_ALL ROW PER MATCH.sql,1,2.09,2.1356167793273926,1000000,1,478468.89952153113,3.64,43.33269119262695,SUCCESS,20260114_022235_00458_qfr6h
trino,06_ALL ROW PER MATCH.sql,2,2.13,2.1833279132843018,1000000,1,469483.5680751174,3.7,38.671234130859375,SUCCESS,20260114_022237_00459_qfr6h
trino,06_ALL ROW PER MATCH.sql,3,2.03,2.084101915359497,1000000,1,492610.8374384237,3.43,43.33247375488281,SUCCESS,20260114_022239_00460_qfr6h
trino,06_ALL ROW PER MATCH.sql,4,2.09,2.14028263092041,1000000,1,478468.89952153113,3.51,39.24234580993652,SUCCESS,20260114_022241_00461_qfr6h
trino,06_ALL ROW PER MATCH.sql,5,2.04,2.0871052742004395,1000000,1,490196.07843137253,3.47,41.890461921691895,SUCCESS,20260114_022243_00462_qfr6h
trino,07_SUBSET.sql,1,1.94,1.9911587238311768,1000000,1,515463.9175257732,3.0,43.328447341918945,SUCCESS,20260114_022247_00464_qfr6h
trino,07_SUBSET.sql,2,1.95,1.9956748485565186,1000000,1,512820.5128205128,2.96,43.329524993896484,SUCCESS,20260114_022249_00465_qfr6h
trino,07_SUBSET.sql,3,1.99,2.038766860961914,1000000,1,502512.5628140704,3.02,43.332210540771484,SUCCESS,20260114_022251_00466_qfr6h
trino,07_SUBSET.sql,4,1.94,1.984583854675293,1000000,1,515463.9175257732,2.91,33.452796936035156,SUCCESS,20260114_022253_00467_qfr6h
trino,07_SUBSET.sql,5,1.96,2.020563840866089,1000000,1,510204.0816326531,3.0,41.890461921691895,SUCCESS,20260114_022255_00468_qfr6h
trino,08_WITHIN.sql,1,0.048378944396972656,0.048378944396972656,1000000,0,20670149.224309567,,,"ERROR: TrinoUserError(type=USER_ERROR, name=SYNTAX_ERROR, message=""line 10:5: mismatched input 'WITHIN'. Expecting: 'DEFINE', 'SUBSET'"", query_id=20260114_022258_00470_qfr6h)",unavailable
trino,08_WITHIN.sql,2,0.04777669906616211,0.04777669906616211,1000000,0,20930705.125006236,,,"ERROR: TrinoUserError(type=USER_ERROR, name=SYNTAX_ERROR, message=""line 10:5: mismatched input 'WITHIN'. Expecting: 'DEFINE', 'SUBSET'"", query_id=20260114_022258_00471_qfr6h)",unavailable
trino,08_WITHIN.sql,3,0.04671072959899902,0.04671072959899902,1000000,0,21408357.535512123,,,"ERROR: TrinoUserError(type=USER_ERROR, name=SYNTAX_ERROR, message=""line 10:5: mismatched input 'WITHIN'. Expecting: 'DEFINE', 'SUBSET'"", query_id=20260114_022258_00472_qfr6h)",unavailable
trino,08_WITHIN.sql,4,0.047708749771118164,0.047708749771118164,1000000,0,20960515.729242146,,,"ERROR: TrinoUserError(type=USER_ERROR, name=SYNTAX_ERROR, message=""line 10:5: mismatched input 'WITHIN'. Expecting: 'DEFINE', 'SUBSET'"", query_id=20260114_022258_00473_qfr6h)",unavailable
trino,08_WITHIN.sql,5,0.047128915786743164,0.047128915786743164,1000000,0,21218396.037900977,,,"ERROR: TrinoUserError(type=USER_ERROR, name=SYNTAX_ERROR, message=""line 10:5: mismatched input 'WITHIN'. Expecting: 'DEFINE', 'SUBSET'"", query_id=20260114_022258_00474_qfr6h)",unavailable
trino,09_Nullwerte.sql,1,2.13,2.177489757537842,1000000,1,469483.5680751174,3.7,43.332359313964844,SUCCESS,20260114_022300_00476_qfr6h
trino,09_Nullwerte.sql,2,2.04,2.088175058364868,1000000,1,490196.07843137253,3.37,33.45574951171875,SUCCESS,20260114_022302_00477_qfr6h
trino,09_Nullwerte.sql,3,2.1,2.148750066757202,1000000,1,476190.47619047615,3.43,38.53563690185547,SUCCESS,20260114_022304_00478_qfr6h
trino,09_Nullwerte.sql,4,2.04,2.095475912094116,1000000,1,490196.07843137253,3.34,33.45307922363281,SUCCESS,20260114_022306_00479_qfr6h
trino,09_Nullwerte.sql,5,2.08,2.1307218074798584,1000000,1,480769.23076923075,3.47,43.32956314086914,SUCCESS,20260114_022309_00480_qfr6h
